Order ID,Order Date,Shipping Date,Shipping Mode,Customer ID,Customer Name,Segment,City,State,Country,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost
IN-2024-BE114557-42080,17/3/2024,22/3/2024,Second Class,BE-114557,Brad Eason,Home Office,Sydney,New South Wales,Australia,TEC-CO-4568,"Hewlett Copy Machine, Color",Technology,Copiers,3299,14,0.1,366,336
IN-2024-CC125507-42046,11/2/2024,11/2/2024,Same Day,CC-125507,Clay Cheatham,Consumer,Whyalla,South Australia,Australia,TEC-CO-3706,"Canon Personal Copier, Laser",Technology,Copiers,1027,8,0.1,182,332
IN-2024-AB101057-42153,29/5/2024,5/6/2024,Standard Class,AB-101057,Adrian Barton,Consumer,Adelaide,South Australia,Australia,TEC-CO-3609,"Brother Wireless Fax, Digital",Technology,Copiers,1703,5,0.1,737,332
IN-2024-CS121307-42266,19/9/2024,21/9/2024,Second Class,CS-121307,Chad Sievert,Consumer,Melbourne,Victoria,Australia,FUR-BO-5761,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,1586,4,0.1,17,307
IN-2024-AM107057-42047,12/2/2024,14/2/2024,Second Class,AM-107057,Anne McFarland,Consumer,Brisbane,Queensland,Australia,TEC-AC-4186,"Enermax Router, Erganomic",Technology,Accessories,2074,9,0.1,276,294
IN-2024-MD178607-42171,16/6/2024,21/6/2024,Standard Class,MD-178607,Michael Dominguez,Corporate,Sydney,New South Wales,Australia,TEC-CO-3598,"Brother Fax Machine, Laser",Technology,Copiers,2293,8,0.1,509,288
IN-2024-CM124457-42315,7/11/2024,11/11/2024,Standard Class,CM-124457,Chuck Magee,Consumer,Wollongong,New South Wales,Australia,FUR-CH-4531,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,2841,6,0,852,287
IN-2024-NL1831092-42266,19/9/2024,19/9/2024,Same Day,NL-1831092,Nancy Lomonaco,Home Office,Christchurch,Canterbury,New Zealand,TEC-CO-3706,"Canon Personal Copier, Laser",Technology,Copiers,856,6,0,222,268
ID-2024-AR105707-42290,13/10/2024,18/10/2024,Standard Class,AR-105707,Anemone Ratner,Consumer,Perth,Western Australia,Australia,TEC-CO-4791,"HP Wireless Fax, High-Speed",Technology,Copiers,1612,5,0.1,394,266
ID-2024-AH100757-42367,29/12/2024,31/12/2024,First Class,AH-100757,Adam Hart,Corporate,Geelong,Victoria,Australia,OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances,1534,3,0.1,-102,255
IN-2024-KN164507-42332,24/11/2024,26/11/2024,First Class,KN-164507,Kean Nguyen,Corporate,Perth,Western Australia,Australia,TEC-PH-3147,"Apple Smart Phone, Cordless",Technology,Phones,2863,5,0.1,858,242
IN-2024-PB192107-42248,1/9/2024,4/9/2024,First Class,PB-192107,Phillip Breyer,Corporate,Wollongong,New South Wales,Australia,OFF-AP-4738,"Hoover Refrigerator, White",Office Supplies,Appliances,1887,4,0.1,0,241
IN-2024-MR175457-42263,16/9/2024,20/9/2024,Second Class,MR-175457,Mathew Reese,Home Office,Wollongong,New South Wales,Australia,FUR-CH-4656,"Hon Executive Leather Armchair, Red",Furniture,Chairs,1837,4,0,275,240
IN-2024-AH105857-42033,29/1/2024,2/2/2024,Standard Class,AH-105857,Angele Hood,Consumer,Townsville,Queensland,Australia,FUR-BO-4849,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,1864,5,0.1,455,239
IN-2024-FC142457-42326,18/11/2024,22/11/2024,Second Class,FC-142457,Frank Carlisle,Home Office,Queanbeyan,New South Wales,Australia,TEC-PH-3152,"Apple Speaker Phone, VoIP",Technology,Phones,1221,11,0.1,325,238
ID-2024-TH212357-42175,20/6/2024,23/6/2024,Second Class,TH-212357,Tiffany House,Corporate,Sydney,New South Wales,Australia,TEC-CO-6000,"Sharp Fax Machine, Laser",Technology,Copiers,1596,6,0.1,-53,238
ID-2024-BE114557-42242,26/8/2024,28/8/2024,First Class,BE-114557,Brad Eason,Home Office,Gold Coast,Queensland,Australia,FUR-CH-4656,"Hon Executive Leather Armchair, Red",Furniture,Chairs,1653,6,0.4,-689,237
IN-2024-PS189707-42342,4/12/2024,8/12/2024,Standard Class,PS-189707,Paul Stevenson,Home Office,Hobart,Tasmania,Australia,FUR-TA-4713,"Hon Wood Table, with Bottom Storage",Furniture,Tables,2125,4,0,148,234
ID-2024-ST205307-42336,28/11/2024,5/12/2024,Standard Class,ST-205307,Shui Tom,Consumer,Bundaberg,Queensland,Australia,FUR-TA-3766,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,1832,3,0.3,-445,228
ID-2024-CM123857-42208,23/7/2024,25/7/2024,Second Class,CM-123857,Christopher Martinez,Consumer,Adelaide,South Australia,Australia,OFF-ST-5700,"Rogers Lockers, Blue",Office Supplies,Storage,952,5,0.1,-53,223
ID-2024-BD116057-42103,9/4/2024,13/4/2024,Standard Class,BD-116057,Brian Dahlen,Consumer,Newcastle,New South Wales,Australia,FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,1656,4,0.1,-110,215
IN-2024-PB191057-42281,4/10/2024,5/10/2024,First Class,PB-191057,Peter Bühler,Consumer,Orange,New South Wales,Australia,TEC-CO-4578,"Hewlett Fax Machine, Laser",Technology,Copiers,2015,7,0.1,850,215
IN-2024-GK1462092-42294,17/10/2024,20/10/2024,Second Class,GK-1462092,Grace Kelly,Corporate,Napier,Hawke's Bay,New Zealand,TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers,2533,8,0,278,215
IN-2024-CJ118757-42172,17/6/2024,21/6/2024,Standard Class,CJ-118757,Carl Jackson,Corporate,Brisbane,Queensland,Australia,TEC-CO-4592,"Hewlett Wireless Fax, High-Speed",Technology,Copiers,2383,7,0.1,794,211
IN-2024-CG1204092-42032,28/1/2024,30/1/2024,Second Class,CG-1204092,Catherine Glotzbach,Home Office,Wellington,Wellington,New Zealand,FUR-BO-3629,"Bush Corner Shelving, Mobile",Furniture,Bookcases,759,6,0,15,206
ID-2024-LW172157-42293,16/10/2024,20/10/2024,Standard Class,LW-172157,Luke Weiss,Consumer,Gold Coast,Queensland,Australia,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,1241,3,0.1,124,202
IN-2024-JW1607592-42301,24/10/2024,28/10/2024,Second Class,JW-1607592,Julia West,Consumer,Hamilton,Waikato,New Zealand,FUR-CH-5441,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,3719,8,0,632,200
IN-2024-AH105857-42033,29/1/2024,2/2/2024,Standard Class,AH-105857,Angele Hood,Consumer,Townsville,Queensland,Australia,FUR-BO-3887,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,1028,8,0.1,274,198
IN-2024-BB115457-42326,18/11/2024,18/11/2024,Same Day,BB-115457,Brenda Bowman,Corporate,Townsville,Queensland,Australia,TEC-AC-5225,"Memorex Router, Programmable",Technology,Accessories,891,4,0.1,207,197
ID-2024-CS123557-42328,20/11/2024,23/11/2024,First Class,CS-123557,Christine Sundaresam,Consumer,Gold Coast,Queensland,Australia,TEC-MA-5547,"Panasonic Inkjet, Red",Technology,Machines,1113,6,0.4,-705,196
IN-2024-KM163757-42342,4/12/2024,4/12/2024,Same Day,KM-163757,Katherine Murray,Home Office,Wollongong,New South Wales,Australia,TEC-MA-5019,"Konica Receipt Printer, Red",Technology,Machines,859,8,0.1,28,194
ID-2024-SB202907-42178,23/6/2024,27/6/2024,Standard Class,SB-202907,Sean Braxton,Corporate,Geelong,Victoria,Australia,FUR-TA-3442,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,2614,7,0.3,-821,194
ID-2024-CS123557-42328,20/11/2024,23/11/2024,First Class,CS-123557,Christine Sundaresam,Consumer,Gold Coast,Queensland,Australia,TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,771,2,0.4,-321,193
IN-2024-BT113957-42284,7/10/2024,9/10/2024,First Class,BT-113957,Bill Tyler,Corporate,Melbourne,Victoria,Australia,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,1241,3,0.1,124,193
IN-2024-SB201707-42125,1/5/2024,4/5/2024,First Class,SB-201707,Sarah Bern,Consumer,Brisbane,Queensland,Australia,TEC-CO-3704,"Canon Personal Copier, Digital",Technology,Copiers,512,4,0.1,193,188
ID-2024-DM130157-42158,3/6/2024,4/6/2024,First Class,DM-130157,Darrin Martin,Consumer,Caloundra,Queensland,Australia,OFF-AP-3865,"Cuisinart Microwave, Red",Office Supplies,Appliances,1754,7,0.1,214,187
IN-2024-DW135407-42078,15/3/2024,19/3/2024,Standard Class,DW-135407,Don Weiss,Consumer,Geelong,Victoria,Australia,FUR-CH-5807,"SAFCO Swivel Stool, Red",Furniture,Chairs,1058,7,0.1,340,184
IN-2024-CM122357-42171,16/6/2024,21/6/2024,Standard Class,CM-122357,Chris McAfee,Consumer,Mandurah,Western Australia,Australia,FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,3139,8,0.1,941,184
IN-2024-JD161507-42251,4/9/2024,7/9/2024,Second Class,JD-161507,Justin Deggeller,Corporate,Sydney,New South Wales,Australia,FUR-CH-4532,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs,1284,3,0.1,199,183
IN-2024-JD1601592-42321,13/11/2024,17/11/2024,Second Class,JD-1601592,Joy Daniels,Consumer,Palmerston North,Manawatu-Wanganui,New Zealand,FUR-CH-4564,"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs,1458,8,0,495,177
IN-2024-GD145907-42151,27/5/2024,31/5/2024,Second Class,GD-145907,Giulietta Dortch,Corporate,Sydney,New South Wales,Australia,TEC-PH-3129,"Apple Audio Dock, VoIP",Technology,Phones,1953,13,0.1,282,176
IN-2024-ZC219107-42333,25/11/2024,29/11/2024,Standard Class,ZC-219107,Zuschuss Carroll,Consumer,Palmerston,Northern Territory,Australia,TEC-MA-5008,"Konica Inkjet, Wireless",Technology,Machines,1411,5,0.1,580,173
IN-2024-EM139607-42130,6/5/2024,9/5/2024,First Class,EM-139607,Eric Murdock,Consumer,Newcastle,New South Wales,Australia,TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers,1266,4,0,139,172
IN-2024-PH1879092-42290,13/10/2024,15/10/2024,First Class,PH-1879092,Patricia Hirasaki,Home Office,Wellington,Wellington,New Zealand,TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones,1308,2,0,536,168
ID-2024-TC211457-42343,5/12/2024,8/12/2024,First Class,TC-211457,Theresa Coyne,Corporate,Gold Coast,Queensland,Australia,FUR-CH-4701,"Hon Swivel Stool, Adjustable",Furniture,Chairs,897,6,0.1,-10,150
IN-2024-MS175307-42290,13/10/2024,13/10/2024,Same Day,MS-175307,MaryBeth Skach,Consumer,Mount Isa,Queensland,Australia,TEC-CO-4773,"HP Fax Machine, Color",Technology,Copiers,542,2,0.1,126,149
IN-2024-RS1976592-42202,17/7/2024,19/7/2024,First Class,RS-1976592,Roland Schwarz,Corporate,Timaru,Canterbury,New Zealand,TEC-CO-3687,"Canon Fax Machine, Digital",Technology,Copiers,636,2,0,12,146
ID-2024-MC176357-42132,8/5/2024,12/5/2024,Second Class,MC-176357,Matthew Clasen,Corporate,Mandurah,Western Australia,Australia,TEC-AC-5226,"Memorex Router, USB",Technology,Accessories,1774,8,0.1,492,144
IN-2024-MS175307-42290,13/10/2024,13/10/2024,Same Day,MS-175307,MaryBeth Skach,Consumer,Mount Isa,Queensland,Australia,TEC-CO-4791,"HP Wireless Fax, High-Speed",Technology,Copiers,645,2,0.1,157,142
ID-2024-AG1030092-42132,8/5/2024,12/5/2024,Standard Class,AG-1030092,Aleksandra Gannaway,Corporate,Auckland,Auckland,New Zealand,FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,1046,4,0.4,-52,140
ID-2024-EM138107-42097,3/4/2024,7/4/2024,Standard Class,EM-138107,Eleni McCrary,Corporate,Adelaide,South Australia,Australia,TEC-CO-3607,"Brother Personal Copier, Laser",Technology,Copiers,1414,11,0.1,235,131
ID-2024-MC181007-42252,5/9/2024,10/9/2024,Second Class,MC-181007,Mick Crebagga,Consumer,Sydney,New South Wales,Australia,TEC-MA-5572,"Panasonic Printer, Red",Technology,Machines,949,4,0.1,-105,127
ID-2024-KL166457-42202,17/7/2024,17/7/2024,Same Day,KL-166457,Ken Lonsdale,Consumer,Canberra,Australian Capital Territory,Australia,FUR-BO-5950,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,1049,4,0.4,-314,125
IN-2024-DL1331592-42025,21/1/2024,25/1/2024,Standard Class,DL-1331592,Delfina Latchford,Consumer,Auckland,Auckland,New Zealand,TEC-CO-4789,"HP Wireless Fax, Color",Technology,Copiers,867,4,0.4,86,124
IN-2024-NG184307-42322,14/11/2024,17/11/2024,First Class,NG-184307,Nathan Gelder,Consumer,Melbourne,Victoria,Australia,FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,2068,5,0.1,206,124
ID-2024-NP183257-42368,30/12/2024,1/1/2016,Second Class,NP-183257,Naresj Patel,Consumer,Canberra,Australian Capital Territory,Australia,FUR-CH-4545,"Harbour Creations Rocking Chair, Black",Furniture,Chairs,433,5,0.4,-166,124
ID-2024-TB214007-42322,14/11/2024,16/11/2024,First Class,TB-214007,Tom Boeckenhauer,Consumer,Toowoomba,Queensland,Australia,FUR-TA-4643,"Hon Computer Table, Fully Assembled",Furniture,Tables,689,2,0.3,-226,122
IN-2024-SR207407-42276,29/9/2024,4/10/2024,Standard Class,SR-207407,Steven Roelle,Home Office,Adelaide,South Australia,Australia,TEC-MA-5503,"Okidata Inkjet, Wireless",Technology,Machines,848,3,0.1,310,116
IN-2024-NM184457-42284,7/10/2024,10/10/2024,Second Class,NM-184457,Nathan Mautz,Home Office,Perth,Western Australia,Australia,TEC-AC-3387,"Belkin Keyboard, USB",Technology,Accessories,378,5,0.1,113,115
IN-2024-EG139007-42110,16/4/2024,21/4/2024,Standard Class,EG-139007,Emily Grady,Consumer,Melbourne,Victoria,Australia,OFF-AP-4956,"KitchenAid Microwave, Black",Office Supplies,Appliances,1393,5,0.1,572,112
IN-2024-ME173207-42361,23/12/2024,30/12/2024,Standard Class,ME-173207,Maria Etezadi,Home Office,Griffith,New South Wales,Australia,FUR-BO-3892,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,1109,3,0.1,86,110
ID-2024-DB136607-42200,15/7/2024,20/7/2024,Standard Class,DB-136607,Duane Benoit,Consumer,Canberra,Australian Capital Territory,Australia,OFF-AP-4963,"KitchenAid Refrigerator, White",Office Supplies,Appliances,2525,8,0.4,-294,109
IN-2024-JP154607-42253,6/9/2024,8/9/2024,First Class,JP-154607,Jennifer Patt,Corporate,Lismore,New South Wales,Australia,TEC-AC-4186,"Enermax Router, Erganomic",Technology,Accessories,461,2,0.1,61,108
IN-2024-SR207407-42276,29/9/2024,4/10/2024,Standard Class,SR-207407,Steven Roelle,Home Office,Adelaide,South Australia,Australia,FUR-BO-5786,"Safco Library with Doors, Mobile",Furniture,Bookcases,1059,3,0.1,235,107
IN-2024-LD170057-42063,28/2/2024,4/3/2024,Second Class,LD-170057,Lisa DeCherney,Consumer,Gold Coast,Queensland,Australia,FUR-BO-5798,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,545,4,0.1,60,106
ID-2024-DM130157-42158,3/6/2024,4/6/2024,First Class,DM-130157,Darrin Martin,Consumer,Caloundra,Queensland,Australia,OFF-ST-6048,"Smead Lockers, Single Width",Office Supplies,Storage,714,4,0.1,277,105
IN-2024-SR207407-42143,19/5/2024,22/5/2024,Second Class,SR-207407,Steven Roelle,Home Office,Brisbane,Queensland,Australia,FUR-BO-4861,"Ikea Library with Doors, Mobile",Furniture,Bookcases,987,3,0.1,43,103
IN-2024-JF152957-42118,24/4/2024,28/4/2024,Second Class,JF-152957,Jason Fortune-,Consumer,Melbourne,Victoria,Australia,TEC-AC-5225,"Memorex Router, Programmable",Technology,Accessories,1337,6,0.1,311,103
IN-2024-CD119807-42333,25/11/2024,29/11/2024,Standard Class,CD-119807,Carol Darley,Consumer,Sydney,New South Wales,Australia,TEC-MA-5503,"Okidata Inkjet, Wireless",Technology,Machines,1130,4,0.1,414,103
IN-2024-PF1912092-42276,29/9/2024,4/10/2024,Standard Class,PF-1912092,Peter Fuller,Consumer,Christchurch,Canterbury,New Zealand,TEC-MA-5007,"Konica Inkjet, White",Technology,Machines,1242,4,0,285,102
IN-2024-DP131057-42271,24/9/2024,28/9/2024,Standard Class,DP-131057,Dave Poirier,Corporate,Gold Coast,Queensland,Australia,FUR-FU-4067,"Eldon Frame, Erganomic",Furniture,Furnishings,620,6,0.1,20,100
IN-2024-CC126107-42353,15/12/2024,20/12/2024,Standard Class,CC-126107,Corey Catlett,Corporate,Melbourne,Victoria,Australia,FUR-CH-5453,"Office Star Steel Folding Chair, Set of Two",Furniture,Chairs,591,7,0.1,216,100
IN-2024-BT113057-42116,22/4/2024,23/4/2024,First Class,BT-113057,Beth Thompson,Home Office,Perth,Western Australia,Australia,OFF-ST-6047,"Smead Lockers, Industrial",Office Supplies,Storage,895,5,0.1,39,98
IN-2024-LH1675092-42218,2/8/2024,4/8/2024,First Class,LH-1675092,Larry Hughes,Consumer,Auckland,Auckland,New Zealand,TEC-AC-5122,"Logitech Memory Card, Erganomic",Technology,Accessories,242,4,0.4,-137,97
ID-2024-DP131657-42011,7/1/2024,11/1/2024,Standard Class,DP-131657,David Philippe,Consumer,Albury,New South Wales,Australia,OFF-AP-3572,"Breville Microwave, Silver",Office Supplies,Appliances,3810,14,0.1,-42,96
ID-2024-JC153407-42324,16/11/2024,22/11/2024,Standard Class,JC-153407,Jasper Cacioppo,Consumer,Brisbane,Queensland,Australia,FUR-CH-5776,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs,2503,6,0.1,834,95
IN-2024-ND184607-42029,25/1/2024,1/2/2024,Standard Class,ND-184607,Neil Ducich,Corporate,Ballarat,Victoria,Australia,TEC-CO-4578,"Hewlett Fax Machine, Laser",Technology,Copiers,575,2,0.1,243,95
IN-2024-NC1862592-42242,26/8/2024,31/8/2024,Second Class,NC-1862592,Noah Childs,Corporate,Christchurch,Canterbury,New Zealand,OFF-AR-3475,"Binney & Smith Canvas, Blue",Office Supplies,Art,410,8,0,12,93
IN-2024-BE113357-42302,25/10/2024,29/10/2024,Standard Class,BE-113357,Bill Eplett,Home Office,Sydney,New South Wales,Australia,FUR-BO-5961,"Sauder Floating Shelf Set, Pine",Furniture,Bookcases,1234,7,0.1,0,93
IN-2024-CM121607-42221,5/8/2024,6/8/2024,First Class,CM-121607,Charles McCrossin,Consumer,Newcastle,New South Wales,Australia,TEC-CO-3695,"Canon Ink, Digital",Technology,Copiers,528,4,0.1,88,92
IN-2024-LM170657-42285,8/10/2024,13/10/2024,Standard Class,LM-170657,Liz MacKendrick,Consumer,Newcastle,New South Wales,Australia,TEC-CO-3709,"Canon Wireless Fax, High-Speed",Technology,Copiers,1695,5,0.1,-37,92
IN-2024-MB173057-42179,24/6/2024,28/6/2024,Standard Class,MB-173057,Maria Bertelson,Consumer,Sydney,New South Wales,Australia,FUR-CH-5379,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,1236,3,0.1,-96,92
ID-2024-EM140957-42176,21/6/2024,26/6/2024,Standard Class,EM-140957,Eudokia Martin,Corporate,Perth,Western Australia,Australia,FUR-BO-3896,"Dania Corner Shelving, Traditional",Furniture,Bookcases,878,8,0.1,0,91
ID-2024-PK1907592-42033,29/1/2024,2/2/2024,Second Class,PK-1907592,Pete Kriz,Consumer,Dunedin,Otago,New Zealand,TEC-CO-6010,"Sharp Wireless Fax, Digital",Technology,Copiers,853,4,0.4,-42,91
IN-2024-DB135557-42249,2/9/2024,7/9/2024,Standard Class,DB-135557,Dorothy Badders,Corporate,Newcastle,New South Wales,Australia,FUR-CH-4531,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,852,2,0.1,189,90
IN-2024-IG150857-42305,28/10/2024,4/11/2024,Standard Class,IG-150857,Ivan Gibson,Consumer,Sydney,New South Wales,Australia,OFF-AP-4508,"Hamilton Beach Stove, White",Office Supplies,Appliances,972,2,0.1,32,90
IN-2024-PP189557-42125,1/5/2024,4/5/2024,Second Class,PP-189557,Paul Prost,Home Office,Coffs Harbour,New South Wales,Australia,FUR-BO-4860,"Ikea Library with Doors, Metal",Furniture,Bookcases,653,2,0.1,-7,89
IN-2024-SO203357-42178,23/6/2024,29/6/2024,Standard Class,SO-203357,Sean O'Donnell,Consumer,Canberra,Australian Capital Territory,Australia,FUR-CH-4655,"Hon Executive Leather Armchair, Black",Furniture,Chairs,822,3,0.4,-411,89
ID-2024-DP131657-42011,7/1/2024,11/1/2024,Standard Class,DP-131657,David Philippe,Consumer,Albury,New South Wales,Australia,OFF-AP-3870,"Cuisinart Refrigerator, Silver",Office Supplies,Appliances,1788,4,0.1,99,88
ID-2024-CW119057-42056,21/2/2024,27/2/2024,Standard Class,CW-119057,Carl Weiss,Home Office,Sydney,New South Wales,Australia,OFF-ST-4057,"Eldon File Cart, Single Width",Office Supplies,Storage,805,7,0.1,-35,87
IN-2024-AH106907-42224,8/8/2024,10/8/2024,Second Class,AH-106907,Anna Häberlin,Corporate,Melbourne,Victoria,Australia,TEC-CO-4581,"Hewlett Ink, High-Speed",Technology,Copiers,264,2,0.1,-23,87
IN-2024-TP211307-42173,18/6/2024,25/6/2024,Standard Class,TP-211307,Theone Pippenger,Consumer,Perth,Western Australia,Australia,FUR-CH-5773,"SAFCO Executive Leather Armchair, Adjustable",Furniture,Chairs,835,2,0.1,-27,86
IN-2024-CB125357-42327,19/11/2024,24/11/2024,Standard Class,CB-125357,Claudia Bergmann,Corporate,Gold Coast,Queensland,Australia,TEC-AC-4185,"Enermax Router, Bluetooth",Technology,Accessories,929,4,0.1,227,86
ID-2024-JC153407-42153,29/5/2024,3/6/2024,Standard Class,JC-153407,Jasper Cacioppo,Consumer,Canberra,Australian Capital Territory,Australia,OFF-AP-4963,"KitchenAid Refrigerator, White",Office Supplies,Appliances,1893,6,0.4,-221,85
IN-2024-DJ135107-42007,3/1/2024,5/1/2024,Second Class,DJ-135107,Don Jones,Corporate,Tamworth,New South Wales,Australia,OFF-AP-3866,"Cuisinart Microwave, Silver",Office Supplies,Appliances,1256,5,0.1,488,84
IN-2024-JG1580592-42120,26/4/2024,30/4/2024,Standard Class,JG-1580592,John Grady,Corporate,New Plymouth,Taranaki,New Zealand,TEC-CO-5990,"Sharp Copy Machine, Color",Technology,Copiers,950,4,0,171,84
IN-2024-AM107057-42047,12/2/2024,14/2/2024,Second Class,AM-107057,Anne McFarland,Consumer,Brisbane,Queensland,Australia,TEC-PH-3787,"Cisco Audio Dock, with Caller ID",Technology,Phones,655,4,0.1,240,84
ID-2024-JD160607-42147,23/5/2024,25/5/2024,First Class,JD-160607,Julia Dunbar,Consumer,Brisbane,Queensland,Australia,OFF-AP-3573,"Breville Microwave, White",Office Supplies,Appliances,269,1,0.1,77,82
IN-2024-JF154907-42259,12/9/2024,16/9/2024,Standard Class,JF-154907,Jeremy Farry,Consumer,Brisbane,Queensland,Australia,TEC-CO-4776,"HP Fax Machine, Laser",Technology,Copiers,1079,4,0.1,275,82
ID-2024-PP189557-42161,6/6/2024,10/6/2024,Standard Class,PP-189557,Paul Prost,Home Office,Coffs Harbour,New South Wales,Australia,FUR-CH-5446,"Office Star Rocking Chair, Adjustable",Furniture,Chairs,1161,9,0.1,-103,82
IN-2024-DP131057-42271,24/9/2024,28/9/2024,Standard Class,DP-131057,Dave Poirier,Corporate,Gold Coast,Queensland,Australia,TEC-CO-6011,"Sharp Wireless Fax, High-Speed",Technology,Copiers,637,2,0.1,127,81
IN-2024-BW110657-42319,11/11/2024,16/11/2024,Second Class,BW-110657,Barry Weirich,Consumer,Townsville,Queensland,Australia,TEC-AC-5223,"Memorex Router, Bluetooth",Technology,Accessories,664,3,0.1,162,80
IN-2024-AJ109607-42173,18/6/2024,20/6/2024,First Class,AJ-109607,Astrea Jones,Consumer,Wollongong,New South Wales,Australia,FUR-BO-5748,"Safco 3-Shelf Cabinet, Traditional",Furniture,Bookcases,607,4,0.1,60,80
IN-2024-JG1580592-42120,26/4/2024,30/4/2024,Standard Class,JG-1580592,John Grady,Corporate,New Plymouth,Taranaki,New Zealand,FUR-CH-5802,"SAFCO Steel Folding Chair, Red",Furniture,Chairs,857,10,0,171,80
ID-2024-LC168707-42155,31/5/2024,6/6/2024,Standard Class,LC-168707,Lena Cacioppo,Consumer,Caloundra,Queensland,Australia,TEC-CO-3680,"Canon Copy Machine, High-Speed",Technology,Copiers,1171,5,0.1,195,79
IN-2024-KB165857-42040,5/2/2024,9/2/2024,Standard Class,KB-165857,Ken Black,Corporate,Bunbury,Western Australia,Australia,OFF-AP-4735,"Hoover Refrigerator, Black",Office Supplies,Appliances,1419,3,0.1,110,79
